zip_file,release_date,label_name,title_len,text_len,fields_present
Financial and Economic News_negative_20241223003542.zip,20241223,Negative,47,142,25
Financial and Economic News_negative_20241223003542.zip,20241223,Negative,70,11373,25
Financial and Economic News_negative_20241223003542.zip,20241223,Negative,89,1574,25
Financial and Economic News_negative_20241223003542.zip,20241223,Negative,44,2669,25
Financial and Economic News_negative_20241223003542.zip,20241223,Negative,94,7654,25
Financial and Economic News_negative_20241223003542.zip,20241223,Negative,108,2575,25
Financial and Economic News_negative_20241223003542.zip,20241223,Negative,68,51,25
Financial and Economic News_negative_20241223003542.zip,20241223,Negative,68,1037,25
Financial and Economic News_negative_20241223003542.zip,20241223,Negative,104,3483,25
Financial and Economic News_negative_20241223003542.zip,20241223,Negative,63,3629,25
Financial and Economic News_negative_20241223003542.zip,20241223,Negative,114,3893,25
Financial and Economic News_negative_20241223003542.zip,20241223,Negative,56,2427,25
Financial and Economic News_negative_20241223003542.zip,20241223,Negative,202,3682,25
Financial and Economic News_negative_20241223003542.zip,20241223,Negative,73,2201,25
Financial and Economic News_negative_20241223003542.zip,20241223,Negative,39,3444,25
Financial and Economic News_negative_20241223003542.zip,20241223,Negative,131,7349,25
Financial and Economic News_negative_20241223003542.zip,20241223,Negative,69,2453,25
Financial and Economic News_negative_20241223003542.zip,20241223,Negative,65,1319,25
